                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4893,                 2.7718,                 1.1521,                0.78575,                 0.3083,                0.36102,                0.18823,                  1.599,                 1.8837,                 1.0631,               0.070086,              0.0033238,              0.0033238
                      1,                 1.4267,                 1.8782,                 1.1068,                0.63466,                0.46509,                 0.5056,                0.25486,                 1.5999,                 1.5528,                 1.0528,               0.039427,              0.0059981,              0.0059981
                      2,                 1.4209,                 1.5943,                 1.0985,                0.59614,                0.44832,                0.50883,                0.28191,                 1.5274,                 1.4596,                 1.0489,              0.0081076,              0.0080124,              0.0080124
                      3,                 1.4136,                 1.6634,                 1.1003,                0.62719,                0.46984,                0.51581,                0.28363,                 1.5131,                 1.4713,                 1.0473,                0.00703,                0.00703,                0.00703
                      4,                 1.4036,                 1.5255,                  1.101,                0.71592,                0.47676,                0.53863,                0.31256,                 1.3504,                 1.3078,                0.99915,                0.00703,                0.00703,                0.00703
                      5,                 1.4004,                 1.4379,                 1.1024,                0.65137,                 0.5394,                 0.5678,                0.31134,                 1.4663,                 1.2829,                 1.0296,                0.00604,                0.00604,                0.00604
                      6,                 1.3342,                 1.3503,                 1.0748,                0.67798,                0.54715,                0.58782,                0.32574,                 1.4293,                 1.2536,                 1.0106,                0.00505,                0.00505,                0.00505
                      7,                 1.3259,                 1.3003,                 1.0717,                0.66653,                0.55043,                0.60041,                0.32986,                  1.471,                 1.2458,                 1.0134,                0.00406,                0.00406,                0.00406
                      8,                 1.3041,                 1.2564,                 1.0514,                 0.7052,                0.56701,                0.62692,                0.33337,                  1.491,                 1.1876,                 1.0269,                0.00307,                0.00307,                0.00307
                      9,                 1.2665,                 1.2286,                 1.0498,                0.72127,                0.58389,                0.63516,                 0.3409,                 1.4802,                 1.1457,                 1.0157,                0.00208,                0.00208,                0.00208
